site,T1,T2,T3
2,0.0651,-1e-04,0
3,0.1982,0,-0.0803
4,0,-0.0607,0.0102
5,0.0641,0,-0.0483
6,0.0099,-0.1304,0
7,0.0824,0,-0.0138
8,0.1132,0,-0.0584
9,0,-0.0834,0.0124
10,0.0349,-0.0077,0
11,0.1458,-0.074,0
12,0,0.0297,-0.0201
13,0.0578,-0.0257,0
14,0.0038,-0.0082,0
15,0.0452,-0.0808,0
16,0.0127,0,-0.0945
17,0,-0.0751,0.1902
18,0.1503,0,-0.001
20,0.0231,-0.0409,0
21,0.0773,0,-0.0172
22,0.2195,-0.0127,0
23,0.0462,0,-0.0867
24,0,0.0348,-0.0707
26,-0.0308,0.0097,0
27,0,-0.0154,0.136
30,0.0783,-0.0241,0
31,0,0.0142,-0.0526
32,0,0.0463,-0.0328
33,0.108,-0.0834,0
34,-0.0189,0,0.0723
35,0.0741,-0.0356,0
36,0,0.0154,-0.0911
37,0.045,0,-0.0516
38,0.2156,-0.0169,0
39,-0.0409,0,0.1329
40,-0.0063,0,0.0038
41,0,-0.1101,0.0195
42,0,-0.0396,0.1292
43,0.0308,0,-0.203
44,0.0412,0,-0.0322
45,0.0781,-0.0908,0
48,0.0411,0,-0.1387
49,-0.0404,0.128,0
50,0.1572,0,-0.1043
51,0.2185,-0.031,0
52,0.1738,0,-0.0319
53,0,-0.0274,0.0289
54,0.0107,-0.0353,0
55,0,0.0038,-0.0462
