site,date,T4_prop,arh_prop,T4_mean,T4_min,T4_max,arh_mean,arh_min,arh_max,probl,logger
2,2019-10-07,100,100,4.291666666666667,3.4,6.1,97.10833333333333,87.2,100,0,a
2,2019-10-08,100,100,3.9833333333333334,2.4,6.4,98.74166666666667,92.3,100,0,a
2,2019-10-09,100,100,4.425,1.6,6.9,98.74166666666666,93.7,100,0,a
2,2019-10-10,100,100,7.158333333333333,5.3,9.5,100,100,100,0,a
2,2019-10-11,100,100,8.508333333333333,7,10.6,100,100,100,0,a
2,2019-10-12,100,100,8.508333333333333,7.2,9.5,100,100,100,0,a
2,2019-10-13,100,100,7.291666666666667,3.1,9.5,98.48333333333333,90.9,100,0,a
2,2019-10-14,100,100,4.583333333333333,1.7,6.4,100,100,100,0,a
2,2019-10-15,100,100,3.3083333333333336,-0.5,6.1,100,100,100,0,a
2,2019-10-16,100,100,5.875,4.6,7.6,100,100,100,0,a
2,2019-10-17,100,100,4.833333333333333,4.5,5.2,100,100,100,0,a
2,2019-10-18,100,100,7.575,4.9,10,100,100,100,0,a
2,2019-10-19,100,100,10.416666666666666,9,11.4,100,100,100,0,a
2,2019-10-20,100,100,9.108333333333333,8,10.3,100,100,100,0,a
2,2019-10-21,100,100,5.075,2.3,9.2,100,100,100,0,a
2,2019-10-22,100,100,7.958333333333333,3,10.7,99.54166666666667,96.4,100,0,a
2,2019-10-23,100,100,8.225,6.2,11,99.14166666666667,94.5,100,0,a
2,2019-10-24,100,100,9.383333333333333,7.8,11.1,99.66666666666667,96.3,100,0,a
2,2019-10-25,100,100,9.55,8.2,11.3,100,100,100,0,a
2,2019-10-26,100,100,5.891666666666667,3.3,7.8,98.725,94.9,100,0,a
2,2019-10-27,100,100,3,0.7,4.9,100,100,100,0,a
2,2019-10-28,100,100,0.2916666666666667,-0.6,1.2,100,100,100,0,a
2,2019-10-29,100,100,-1.325,-2.7,0.1,99.31666666666666,94.1,100,0,a
2,2019-10-30,100,100,-2.2,-4.2,-0.2,98.85833333333333,92.9,100,0,a
2,2019-10-31,100,100,1.525,-0.9,4.8,99.98333333333333,99.8,100,0,a
2,2019-11-01,100,100,0.4666666666666667,-0.9,3.1,99.26666666666667,95.3,100,0,a
2,2019-11-02,100,100,3.45,0.2,5.3,100,100,100,0,a
2,2019-11-03,100,100,2.525,0.4,3.6,100,100,100,0,a
2,2019-11-04,100,100,-0.5583333333333333,-1.9,0.6,97.55833333333334,87.4,100,0,a
2,2019-11-05,100,100,-1.1583333333333332,-2.4,0.4,83.93333333333334,69,100,0,a
2,2019-11-06,100,100,-2.4333333333333336,-3.6,-1.5,72.70833333333333,65.6,90.1,0,a
2,2019-11-07,100,100,-1.675,-2.7,-0.5,99.63333333333333,95.6,100,0,a
2,2019-11-08,100,100,0.5,-1.3,4.2,100,100,100,0,a
2,2019-11-09,100,100,4.8,4.2,5.4,100,100,100,0,a
2,2019-11-10,100,100,5.341666666666667,1.5,7.4,100,100,100,0,a
2,2019-11-11,100,100,0.04166666666666668,-0.4,1.1,100,100,100,0,a
2,2019-11-12,100,100,2.466666666666667,-0.5,5.1,100,100,100,0,a
2,2019-11-13,100,100,6.533333333333333,5.8,7.7,100,100,100,0,a
2,2019-11-14,100,100,7.425,3.4,9.6,100,100,100,0,a
2,2019-11-15,100,100,1.2083333333333333,-0.6,3.6,100,100,100,0,a
2,2019-11-16,100,100,1.1666666666666667,0.1,2.7,100,100,100,0,a
2,2019-11-17,100,100,5.908333333333333,3.9,6.8,100,100,100,0,a
2,2019-11-18,100,100,5.033333333333333,2.3,6.1,100,100,100,0,a
2,2019-11-19,100,100,6.091666666666667,5.6,6.3,100,100,100,0,a
2,2019-11-20,100,100,5.925,4.8,6.6,100,100,100,0,a
2,2019-11-21,100,100,3.8666666666666667,2.8,4.8,99.08333333333333,95.4,100,0,a
2,2019-11-22,100,100,1.6416666666666666,-0.3,4.2,98.84166666666667,95.8,100,0,a
2,2019-11-23,100,100,-0.13333333333333333,-2.1,0.5,94.63333333333333,85.6,100,0,a
2,2019-11-24,100,100,-1.5916666666666668,-2.6,-0.5,99.51666666666667,96.9,100,0,a
2,2019-11-25,100,100,-0.8916666666666666,-3.5,0.1,100,100,100,0,a
2,2019-11-26,100,100,0.7333333333333333,0,2,100,100,100,0,a
2,2019-11-27,100,100,2.341666666666667,1.4,4,100,100,100,0,a
2,2019-11-28,100,100,3.825,2.8,5,100,100,100,0,a
2,2019-11-29,100,100,3.1666666666666665,-3.3,6,100,100,100,0,a
2,2019-11-30,100,100,-3.85,-4.9,-2.3,100,100,100,0,a
2,2019-12-01,100,100,-2.8833333333333333,-4.5,-1.3,100,100,100,0,a
2,2019-12-02,100,100,-2.4583333333333335,-3.9,-1.5,100,100,100,0,a
2,2019-12-03,100,100,-2.3833333333333333,-4.3,-0.3,100,100,100,0,a
2,2019-12-04,100,100,2.308333333333333,0.2,4.2,100,100,100,0,a
2,2019-12-05,100,100,5.058333333333334,3.2,6.1,99.13333333333333,97,100,0,a
2,2019-12-06,100,100,4.825,4.1,5.8,100,100,100,0,a
2,2019-12-07,100,100,4.391666666666667,1.6,6.3,100,100,100,0,a
2,2019-12-08,100,100,1.7249999999999999,-0.3,6.1,100,100,100,0,a
2,2019-12-09,100,100,4.441666666666666,2.3,5.9,100,100,100,0,a
2,2019-12-10,100,100,-2.7583333333333333,-5.9,0.8,100,100,100,0,a
2,2019-12-11,100,100,0.13333333333333333,-4.9,2.1,100,100,100,0,a
2,2019-12-12,100,100,0.675,-0.6,1.9,100,100,100,0,a
2,2019-12-13,100,100,1.6916666666666667,0.4,2.5,100,100,100,0,a
2,2019-12-14,100,100,1.2583333333333333,0.9,1.6,100,100,100,0,a
2,2019-12-15,100,100,2.0083333333333333,1.1,3.2,100,100,100,0,a
2,2019-12-16,100,100,2.225,0.7,3.3,100,100,100,0,a
2,2019-12-17,100,100,2.825,1.9,3.9,100,100,100,0,a
2,2019-12-18,100,100,3.0166666666666666,1.3,5.8,100,100,100,0,a
2,2019-12-19,100,100,0.375,-1.3,1.7,100,100,100,0,a
2,2019-12-20,100,100,2.625,0.4,3.3,100,100,100,0,a
2,2019-12-21,100,100,2.3916666666666666,2.1,2.6,100,100,100,0,a
2,2019-12-22,100,100,3.6333333333333333,2.4,4.6,100,100,100,0,a
2,2019-12-23,100,100,3.45,2.3,4.3,100,100,100,0,a
2,2019-12-24,100,100,1.4583333333333333,0.5,2.3,100,100,100,0,a
2,2019-12-25,100,100,0.5333333333333333,-0.1,1.2,100,100,100,0,a
2,2019-12-26,100,100,-0.5083333333333333,-1.4,0,100,100,100,0,a
2,2019-12-27,100,100,-2.825,-4.9,-0.5,99.43333333333334,97.2,100,0,a
2,2019-12-28,100,100,-5.3,-7.4,-3.3,99.89166666666667,99.1,100,0,a
2,2019-12-29,100,100,0.3,-5.6,4.1,100,100,100,0,a
2,2019-12-30,100,100,4.3,3.2,5.7,100,100,100,0,a
2,2019-12-31,100,100,1.4833333333333334,-1.7,3.9,96.96666666666667,89.3,100,0,a
2,2020-01-01,100,100,0.45,-1.2,2.1,99.95833333333333,99.5,100,0,a
2,2020-01-02,100,100,2.4833333333333334,1.1,3.9,100,100,100,0,a
2,2020-01-03,100,100,3.725,0,4.8,99.29166666666667,95,100,0,a
2,2020-01-04,100,100,0.8416666666666667,-1.6,2.3,93.1,81.6,100,0,a
2,2020-01-05,100,100,-2.4833333333333334,-5.1,-0.5,86.66666666666667,81,100,0,a
2,2020-01-06,100,100,0.775,0,2.3,100,100,100,0,a
2,2020-01-07,100,100,3.6416666666666666,2.6,4.7,100,100,100,0,a
2,2020-01-08,100,100,4.75,3.1,6,100,100,100,0,a
2,2020-01-09,100,100,0.625,-0.9,1.6,100,100,100,0,a
2,2020-01-10,100,100,-2.7916666666666665,-4.5,-1.7,100,100,100,0,a
2,2020-01-11,100,100,-1.9,-5.2,2.1,100,100,100,0,a
2,2020-01-12,100,100,4.175,2.2,5.3,100,100,100,0,a
2,2020-01-13,100,100,0.20833333333333331,-1.5,1.2,100,100,100,0,a
2,2020-01-14,100,100,2.1083333333333334,0.1,3.4,100,100,100,0,a
2,2020-01-15,100,100,5.283333333333333,3.9,7.1,100,100,100,0,a
2,2020-01-16,100,100,4.0249999999999995,2.5,5.3,100,100,100,0,a
2,2020-01-17,100,100,3.316666666666667,1,4.9,100,100,100,0,a
2,2020-01-18,100,100,3.0166666666666666,0.2,4.9,100,100,100,0,a
