site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
2,2019,10,0.8064516129032258,0.8064516129032258,a,5.49,11.4,-4.2,7.5,3.41,0.73,0.01,100,99.5,100,87.2,140.77,138.95,110.52,-3.53,23,21,14,2
2,2019,11,1,1,a,2.07,9.6,-4.9,3.58,0.27,5.7,0.06,100,98.2,100,65.6,74.46,61.37,42.26,-12.29,22,12,7,8
2,2019,12,1,1,a,1.23,6.3,-7.4,2.78,-0.59,0.57,0.01,100,99.9,100,89.3,57.13,33.12,5.06,-19.12,24,8,1,7
2,2020,1,1,1,a,1.64,7.4,-5.2,3.13,-0.1,4.35,0.04,100,98.2,100,72.4,58.66,36.5,5.28,-7.84,26,9,1,5
2,2020,2,1,1,a,0.23,6.4,-9.8,2.44,-1.95,6.81,0.07,100,96.2,100,55,38.62,22.78,0,-31.87,17,6,0,12
2,2020,3,1,1,a,1.1,9.4,-7,4.19,-1.75,9.62,0.11,93.4,91.6,100,43,47.78,25.29,0,-13.67,22,7,0,9
2,2020,4,1,1,a,4.16,14.6,-2.6,8.48,0.31,10.19,0.13,78.2,80.2,100,39.5,124.67,103.4,68.47,0,30,19,10,0
2,2020,5,1,1,a,8.75,22.4,-0.6,13.65,3.75,13.09,0.17,76.5,77,100,31.1,271.3,271.3,252.67,0,31,31,26,0
2,2020,6,1,1,a,17.62,29.6,6.8,22.5,12.6,10.4,0.14,74.7,77,100,40.6,528.65,528.65,528.65,0,30,30,30,0
2,2020,7,1,1,a,15.46,25.1,8.3,19.2,12.04,6.53,0.07,91,91.7,100,57.3,479.32,479.32,479.32,0,31,31,31,0
2,2020,8,1,1,a,16.38,26.6,9.2,20.41,12.64,7.39,0.08,90.9,90.3,100,49.8,507.86,507.86,507.86,0,31,31,31,0
2,2020,9,0.8666666666666667,0.8666666666666667,a,12.24,18.2,5.4,15.04,9.6,3.08,0.03,97.2,97,100,72.7,318.32,318.32,318.32,0,26,26,26,0
2,2020,10,1,1,a,8.13,15.6,-0.7,10.16,5.98,1.16,0.01,100,99.4,100,81.8,252.08,247.19,230.73,0,31,28,24,0
2,2020,11,1,1,a,4.47,12.3,-1.8,6.22,2.72,0.44,0,100,99.8,100,89.4,134.5,126.61,84.28,-0.38,29,22,12,1
2,2020,12,1,1,a,1,6.1,-4.2,2.09,-0.21,1.5,0.02,100,99.5,100,85,44.49,22.98,5.29,-13.55,22,6,1,9
2,2021,1,1,1,a,-4.25,1.7,-20.3,-2.59,-6.1,0.03,0,100,100,100,98.9,2.97,0,0,-134.66,6,0,0,25
2,2021,2,1,1,a,-7.45,6.8,-22.9,-4.49,-10.79,1.68,0.02,100,99.2,100,78,11.76,3.76,0,-220.27,5,1,0,23
2,2021,3,1,1,a,-0.61,9.2,-15.4,2.8,-3.71,7.02,0.08,94.4,92.8,100,53,37.62,15.98,0,-56.62,17,4,0,14
2,2021,4,1,1,a,3.83,14.1,-2.3,8.17,-0.21,10.64,0.12,85.8,85.7,100,44,114.92,80.72,58.16,0,30,15,9,0
2,2021,5,1,1,a,9.99,24,-1.5,14.57,5.52,11.43,0.14,85.7,83.8,100,40,309.59,309.59,293.88,0,31,31,27,0
2,2021,6,1,1,a,18.83,30.7,8.1,24.33,13.76,7.71,0.1,77.8,80.1,100,45.1,564.87,564.87,564.87,0,30,30,30,0
2,2021,7,1,1,a,20.55,31.9,10.8,25.6,15.85,8.22,0.1,78.8,79.6,100,47,637.03,637.03,637.03,0,31,31,31,0
2,2021,8,0.03225806451612903,0.03225806451612903,a,16.24,18.9,15,18.9,15,NA,NA,98.7,98.7,100,93.3,16.24,16.24,16.24,0,1,1,1,0
3,2019,10,0.8064516129032258,0.8064516129032258,a,5.67,11.4,-3.2,7.3,3.94,0.9,0.01,100,99.5,100,85.7,144.43,141.62,112.83,-2.6,23,21,14,2
3,2019,11,1,1,a,2.21,9.4,-3.7,3.56,0.62,5.62,0.06,100,98.3,100,67.9,77.72,62.46,42.92,-11.46,22,12,7,8
3,2019,12,1,1,a,1.57,6.1,-6.3,2.89,0.12,0.21,0,100,99.9,100,94.9,62.11,36.79,0,-13.34,24,9,0,7
3,2020,1,1,1,a,1.97,6.9,-3.6,3.22,0.6,3.07,0.03,100,98.7,100,80.9,65.3,37.52,5.33,-4.12,28,9,1,3
3,2020,2,1,1,a,0.5,6.2,-7.7,2.19,-1.19,7.53,0.08,100,96.4,100,55.1,41.67,22.61,0,-27.08,18,6,0,11
3,2020,3,1,1,a,1.28,7.9,-5.4,3.35,-0.78,8.12,0.09,95.8,93.1,100,53.4,49.93,28.24,0,-10.13,24,8,0,7
3,2020,4,1,1,a,3.97,12.9,-2,7.19,0.92,8.75,0.1,81.8,83.6,100,45.3,119.14,95.81,60.86,0,30,18,9,0
3,2020,5,1,1,a,8.52,21.9,0.4,12.6,4.43,12.49,0.16,76,79.2,100,35.7,264.11,264.11,235.14,0,31,31,24,0
3,2020,6,1,1,a,17.49,28.4,8.2,21.64,13.47,10.62,0.14,72.3,75.8,100,40.5,524.61,524.61,524.61,0,30,30,30,0
3,2020,7,1,1,a,15.37,23.4,9.3,17.86,12.86,6.63,0.07,92.1,91.8,100,60.3,476.39,476.39,476.39,0,31,31,31,0
3,2020,8,1,1,a,16.46,25,10.4,19.48,13.51,7.11,0.08,88.9,89.2,100,54.4,510.11,510.11,510.11,0,31,31,31,0
3,2020,9,0.8333333333333334,0.8333333333333334,a,12.5,19.3,6,14.54,10.39,3.26,0.03,97.4,96.7,100,69.8,312.61,312.61,312.61,0,25,25,25,0
3,2020,10,1,1,a,8.36,15.1,0.3,10.01,6.71,1.3,0.01,100,99.3,100,82,259.28,253.2,241.02,0,31,28,25,0
3,2020,11,1,1,a,4.82,12,0,6.32,3.37,0.27,0,100,99.9,100,95.2,144.75,136.77,93.02,0,30,23,13,0
3,2020,12,1,1,a,1.24,6,-3.1,2.38,0.19,0.72,0.01,100,99.7,100,89.1,48.62,26.71,5.25,-10.27,24,7,1,7
3,2021,1,1,1,a,-3.99,1.8,-19.9,-2.36,-5.77,0.22,0,100,99.9,100,97.5,4.42,0,0,-128.21,9,0,0,23
3,2021,2,1,1,a,-7.26,3.6,-22.1,-4.78,-10.3,0.76,0.01,99.8,99.5,100,90.7,8.6,0,0,-211.99,5,0,0,23
