site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
2,2020,366,1,366,0,0,0,NA,NA,0,46,262,356,0,0,0,NA,NA,0,0,0,0,NA,NA,0
2,2021,365,1,365,93,93,1,2021-01-02,2021-04-04,94,104,216,164,77,53,2,2021-01-11,2021-04-04,94,64,37,3,2021-01-11,2021-04-03,93
3,2020,366,1,366,0,0,0,NA,NA,0,10,148,218,0,0,0,NA,NA,0,0,0,0,NA,NA,0
3,2021,365,1,365,82,82,1,2021-01-02,2021-03-24,83,8,120,164,0,0,0,NA,NA,0,0,0,0,NA,NA,0
4,2020,366,1,366,0,0,0,NA,NA,0,0,192,232,0,0,0,NA,NA,0,0,0,0,NA,NA,0
4,2021,365,1,365,46,46,1,2021-01-02,2021-02-16,47,14,162,176,0,0,0,NA,NA,0,0,0,0,NA,NA,0
5,2020,366,1,366,0,0,0,NA,NA,0,0,118,234,0,0,0,NA,NA,0,0,0,0,NA,NA,0
5,2021,365,1,365,57,57,1,2021-01-02,2021-02-27,58,2,106,190,11,11,1,2021-01-17,2021-01-27,27,0,0,0,NA,NA,0
6,2020,366,1,366,0,0,0,NA,NA,0,20,182,302,0,0,0,NA,NA,0,0,0,0,NA,NA,0
6,2021,365,1,365,87,87,1,2021-01-02,2021-03-29,88,6,98,188,69,51,2,2021-01-11,2021-03-29,88,32,32,1,2021-01-12,2021-02-12,43
7,2020,366,1,366,0,0,0,NA,NA,0,20,280,308,0,0,0,NA,NA,0,0,0,0,NA,NA,0
7,2021,365,1,365,90,90,1,2021-01-02,2021-04-01,91,0,98,152,81,81,1,2021-01-11,2021-04-01,91,25,14,2,2021-01-20,2021-03-03,62
8,2020,366,1,366,0,0,0,NA,NA,0,58,258,360,0,0,0,NA,NA,0,0,0,0,NA,NA,0
8,2021,365,1,365,86,86,1,2021-01-02,2021-03-28,87,64,86,184,77,77,1,2021-01-11,2021-03-28,87,22,12,2,2021-01-19,2021-03-02,61
9,2020,366,1,366,0,0,0,NA,NA,0,0,80,146,0,0,0,NA,NA,0,0,0,0,NA,NA,0
9,2021,365,1,365,75,56,2,2021-01-03,2021-03-22,81,4,76,106,37,37,1,2021-01-11,2021-02-16,47,11,11,1,2021-01-19,2021-01-29,29
10,2020,366,1,366,0,0,0,NA,NA,0,108,298,394,0,0,0,NA,NA,0,0,0,0,NA,NA,0
11,2020,366,1,366,0,0,0,NA,NA,0,18,236,302,0,0,0,NA,NA,0,0,0,0,NA,NA,0
11,2021,365,1,365,87,87,1,2021-01-02,2021-03-29,88,14,96,142,72,37,3,2021-01-11,2021-03-29,88,0,0,0,NA,NA,0
12,2020,366,1,366,0,0,0,NA,NA,0,10,214,270,0,0,0,NA,NA,0,0,0,0,NA,NA,0
12,2021,365,1,365,86,86,1,2021-01-01,2021-03-27,86,62,112,188,67,37,3,2021-01-11,2021-03-26,85,10,10,1,2021-01-20,2021-01-29,29
13,2020,366,1,366,0,0,0,NA,NA,0,30,226,326,0,0,0,NA,NA,0,0,0,0,NA,NA,0
13,2021,365,1,365,83,83,1,2021-01-03,2021-03-26,85,54,96,118,80,80,1,2021-01-06,2021-03-26,85,49,28,3,2021-01-19,2021-03-29,88
14,2020,366,1,366,0,0,0,NA,NA,0,0,112,192,0,0,0,NA,NA,0,0,0,0,NA,NA,0
14,2021,365,1,365,82,82,1,2021-01-02,2021-03-24,83,12,128,218,48,37,2,2021-01-11,2021-03-02,61,15,15,1,2021-01-19,2021-02-02,33
15,2020,366,1,366,0,0,0,NA,NA,0,0,104,280,0,0,0,NA,NA,0,0,0,0,NA,NA,0
15,2021,365,1,365,98,98,1,2021-01-03,2021-04-10,100,0,50,130,98,98,1,2021-01-03,2021-04-10,100,50,21,3,2021-01-19,2021-04-06,96
16,2020,366,1,366,0,0,0,NA,NA,0,16,328,432,0,0,0,NA,NA,0,0,0,0,NA,NA,0
16,2021,365,1,365,90,90,1,2021-01-01,2021-03-31,90,0,132,236,80,80,1,2021-01-11,2021-03-31,90,18,9,2,2021-01-22,2021-03-01,60
17,2020,366,1,366,15,15,1,2020-02-25,2020-03-10,70,0,84,322,15,15,1,2020-02-25,2020-03-10,70,0,0,0,NA,NA,0
17,2021,365,1,365,91,91,1,2021-01-06,2021-04-06,96,0,88,170,91,91,1,2021-01-06,2021-04-06,96,21,12,2,2021-01-19,2021-03-01,60
18,2020,366,1,366,0,0,0,NA,NA,0,0,164,294,0,0,0,NA,NA,0,0,0,0,NA,NA,0
18,2021,365,1,365,57,57,1,2021-01-02,2021-02-27,58,108,160,248,10,10,1,2021-01-18,2021-01-27,27,0,0,0,NA,NA,0
20,2020,366,1,366,0,0,0,NA,NA,0,0,152,246,0,0,0,NA,NA,0,0,0,0,NA,NA,0
21,2020,366,1,366,0,0,0,NA,NA,0,0,142,196,0,0,0,NA,NA,0,0,0,0,NA,NA,0
21,2021,365,1,365,66,55,2,2021-01-02,2021-03-14,73,4,86,158,16,16,1,2021-01-11,2021-01-26,26,0,0,0,NA,NA,0
22,2020,366,1,366,0,0,0,NA,NA,0,0,180,256,0,0,0,NA,NA,0,0,0,0,NA,NA,0
22,2021,365,1,365,86,86,1,2021-01-03,2021-03-29,88,0,64,162,83,64,2,2021-01-03,2021-03-29,88,12,12,1,2021-01-19,2021-01-30,30
23,2020,366,1,366,0,0,0,NA,NA,0,0,138,246,0,0,0,NA,NA,0,0,0,0,NA,NA,0
23,2021,365,1,365,69,31,3,2021-01-03,2021-03-22,81,4,78,158,11,11,1,2021-01-11,2021-01-21,21,11,11,1,2021-01-19,2021-01-29,29
24,2020,366,1,366,0,0,0,NA,NA,0,0,118,176,0,0,0,NA,NA,0,0,0,0,NA,NA,0
24,2021,365,1,365,40,21,2,2021-01-02,2021-02-12,43,8,96,146,0,0,0,NA,NA,0,0,0,0,NA,NA,0
26,2020,366,1,366,0,0,0,NA,NA,0,106,218,300,0,0,0,NA,NA,0,0,0,0,NA,NA,0
26,2021,359,1,365,81,81,1,2021-01-03,2021-03-24,83,12,98,194,51,51,1,2021-01-11,2021-03-02,61,0,0,0,NA,NA,0
27,2020,366,1,366,0,0,0,NA,NA,0,30,152,200,0,0,0,NA,NA,0,0,0,0,NA,NA,0
27,2021,365,1,365,58,58,1,2021-01-02,2021-02-28,59,6,130,150,27,27,1,2021-01-18,2021-02-13,44,0,0,0,NA,NA,0
30,2020,366,1,366,0,0,0,NA,NA,0,16,198,284,0,0,0,NA,NA,0,0,0,0,NA,NA,0
30,2021,365,1,365,55,55,1,2021-01-02,2021-02-25,56,36,174,232,21,21,1,2021-01-27,2021-02-16,47,0,0,0,NA,NA,0
31,2020,330,37,366,0,0,0,NA,NA,0,0,446,450,0,0,0,NA,NA,0,0,0,0,NA,NA,0
32,2020,366,1,366,0,0,0,NA,NA,0,16,162,234,0,0,0,NA,NA,0,0,0,0,NA,NA,0
32,2021,365,1,365,87,87,1,2021-01-02,2021-03-29,88,0,74,138,78,78,1,2021-01-11,2021-03-29,88,11,11,1,2021-01-20,2021-01-30,30
33,2020,366,1,366,0,0,0,NA,NA,0,0,194,296,0,0,0,NA,NA,0,0,0,0,NA,NA,0
33,2021,365,1,365,86,86,1,2021-01-02,2021-03-28,87,0,102,180,74,74,1,2021-01-11,2021-03-25,84,10,10,1,2021-01-21,2021-01-30,30
34,2020,366,1,366,43,32,2,2019-12-28,2020-03-26,86,0,190,426,43,32,2,2019-12-28,2020-03-26,86,27,27,1,2020-03-04,2020-03-30,90
34,2021,365,1,365,100,100,1,2021-01-01,2021-04-10,100,0,100,194,90,90,1,2021-01-11,2021-04-10,100,9,9,1,2021-02-21,2021-03-01,60
35,2020,366,1,366,0,0,0,NA,NA,0,6,198,258,0,0,0,NA,NA,0,0,0,0,NA,NA,0
35,2021,365,1,365,67,56,2,2021-01-02,2021-03-14,73,4,108,200,37,37,1,2021-01-11,2021-02-16,47,0,0,0,NA,NA,0
36,2020,366,1,366,0,0,0,NA,NA,0,0,200,296,0,0,0,NA,NA,0,0,0,0,NA,NA,0
36,2021,365,1,365,82,82,1,2021-01-02,2021-03-24,83,54,130,222,48,37,2,2021-01-11,2021-03-02,61,10,10,1,2021-01-20,2021-01-29,29
37,2020,366,1,366,0,0,0,NA,NA,0,214,182,286,0,0,0,NA,NA,0,0,0,0,NA,NA,0
37,2021,365,1,365,81,81,1,2021-01-03,2021-03-24,83,6,180,252,37,24,2,2021-01-11,2021-03-03,62,0,0,0,NA,NA,0
38,2020,366,1,366,0,0,0,NA,NA,0,0,194,292,0,0,0,NA,NA,0,0,0,0,NA,NA,0
39,2020,366,1,366,0,0,0,NA,NA,0,0,122,226,0,0,0,NA,NA,0,0,0,0,NA,NA,0
39,2021,365,1,365,89,89,1,2021-01-02,2021-03-31,90,0,50,118,78,41,2,2021-01-11,2021-03-31,90,0,0,0,NA,NA,0
40,2020,366,1,366,0,0,0,NA,NA,0,8,200,230,0,0,0,NA,NA,0,0,0,0,NA,NA,0
40,2021,365,1,365,79,60,2,2021-01-02,2021-03-22,81,48,108,158,40,30,2,2021-01-11,2021-03-01,60,0,0,0,NA,NA,0
41,2020,366,1,366,0,0,0,NA,NA,0,0,148,262,0,0,0,NA,NA,0,0,0,0,NA,NA,0
41,2021,365,1,365,87,87,1,2021-01-02,2021-03-29,88,0,44,124,78,78,1,2021-01-11,2021-03-29,88,9,9,1,2021-01-19,2021-01-27,27
42,2020,366,1,366,0,0,0,NA,NA,0,14,250,356,0,0,0,NA,NA,0,0,0,0,NA,NA,0
42,2021,365,1,365,85,85,1,2021-01-02,2021-03-27,86,0,86,202,49,37,2,2021-01-11,2021-03-03,62,25,15,2,2021-01-19,2021-03-02,61
43,2020,360,1,366,0,0,0,NA,NA,0,0,134,322,0,0,0,NA,NA,0,0,0,0,NA,NA,0
