site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
2,2019,6,0.3,0.3,0.3,0.3,13.09,14.18,11.81,13.77,12.48,15.08,24,9.88,20.81,11.46,15.49,25.94,9.31,22.31,11.19,1.81,0.08,22.7,22.9,36.2,16.9,117.82,117.82,117.82,0,9,9,9,0,135.74,135.74,135.74,0,9,9,9,0,139.43,139.43,139.43,0,9,9,9,0
2,2019,7,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,13.75,14.81,13.06,14.44,13.12,16.47,27.5,11.19,23.69,12.44,16.84,28.31,11.12,24.31,12.4,1.87,0.09,21.8,21.8,35.6,19.6,27.5,27.5,27.5,0,2,2,2,0,32.94,32.94,32.94,0,2,2,2,0,33.68,33.68,33.68,0,2,2,2,0
2,2019,9,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,9.29,11.37,7.43,10.08,8.53,8.46,12.75,3.63,11.16,5.95,8.41,12.81,3.31,11.22,5.81,1.83,0.1,18.7,19.3,30.3,16.9,65.03,65.03,65.03,0,7,7,7,0,59.24,59.24,59.24,0,7,7,7,0,58.85,58.85,58.85,0,7,7,7,0
2,2019,10,1,1,1,1,7.11,10.81,3.68,7.56,6.64,5.11,11.63,-3.37,7.18,3.06,4.82,11.69,-4.94,7.11,2.48,2.58,0.09,28.6,27.6,37.4,21.2,220.48,220.48,208.05,0,31,31,28,0,161.42,155.54,117.55,-2.91,29,25,16,2,154.38,147.23,115.99,-4.91,29,24,16,2
2,2019,11,1,1,1,1,3.94,6.25,2,4.31,3.59,1.95,8.88,-3.94,3.24,0.27,1.67,9.25,-5.75,3.22,-0.32,1.43,0.05,29,29.5,38.3,27.1,118.32,103.03,21.89,0,30,24,4,0,70.44,56.6,34.61,-11.86,22,12,6,8,67.08,51.06,35.35,-16.87,20,10,6,10
2,2019,12,1,1,1,0.9032258064516129,2.62,4.31,0.56,2.88,2.35,0.94,5.88,-6,2.38,-0.68,0.72,6.06,-7.62,2.45,-1.25,1.24,0.04,32.1,31.9,41.3,29.6,81.15,34.44,0,0,31,10,0,0,46.3,22.27,0,-17.22,22,6,0,9,46.18,26.14,0,-23.97,21,7,0,10
2,2020,1,1,1,1,0.7419354838709677,1.63,3.06,0.43,1.94,1.37,0.67,6.13,-4.75,2.18,-0.96,0.82,6.62,-6,2.58,-1.16,0.7,0.02,30.8,30.9,35.7,29.6,50.65,0,0,0,31,0,0,0,35.53,8.17,0,-14.68,19,2,0,12,40.65,15.33,0,-15.16,21,4,0,10
2,2020,2,1,1,1,0.41379310344827586,1.1,3,-0.07,1.39,0.88,-0.29,5.81,-7.75,1.78,-2.26,-0.38,6.19,-10,2.03,-2.79,1.19,0.04,32.1,32.5,39.5,30.7,31.93,0,0,-0.05,28,0,0,1,27.4,10.56,0,-35.79,15,3,0,14,29.86,14.25,0,-40.93,14,4,0,15
2,2020,3,1,1,1,0.16129032258064516,0.76,2.93,-0.07,1.04,0.55,0.2,8.13,-6.5,3.26,-2.34,0.35,9.5,-8.25,4,-2.78,0.53,0.02,30.6,30.6,32.6,29.6,23.6,0,0,-0.09,28,0,0,3,26.78,3.15,0,-20.61,16,1,0,15,33.38,6.49,0,-22.39,17,2,0,14
2,2020,4,1,1,1,0.7666666666666667,2.24,4.68,0.18,2.83,1.74,2.85,14.88,-3.25,8.2,-1.02,3.29,15.38,-3.75,9.04,-1.06,0.62,0.02,28.2,28.4,31.9,27.5,67.12,31.77,0,0,30,9,0,0,86.89,69.81,31.39,-1.33,27,16,5,3,98.89,78.87,35.03,-0.28,29,16,5,1
2,2020,5,1,1,1,1,5.98,10.06,2.25,6.81,5.16,7.99,26.44,-1.56,16.05,2.73,8.22,27,-1.62,16.22,2.58,0.97,0.03,29.4,29.5,35.8,27.7,185.39,185.39,145.46,0,31,31,22,0,247.8,247.8,219.92,0,31,31,24,0,254.76,251.81,228.3,0,31,30,24,0
2,2020,6,1,1,1,1,12.24,15.81,8.31,13.02,11.5,16.47,34.69,6.56,26.79,11.66,16.89,35.38,6.25,26.96,11.62,2.32,0.08,28.5,28.1,34.4,21.3,367.18,367.18,367.18,0,30,30,30,0,494.22,494.22,494.22,0,30,30,30,0,506.81,506.81,506.81,0,30,30,30,0
2,2020,7,1,1,1,1,13.58,15.62,11.81,14.14,13.03,14.73,25.88,8.88,18.98,11.8,14.82,27,8,19.76,11.35,5.36,0.2,29.7,26.9,37.9,17.1,421.06,421.06,421.06,0,31,31,31,0,456.76,456.76,456.76,0,31,31,31,0,459.29,459.29,459.29,0,31,31,31,0
2,2020,8,1,1,1,1,14.45,16.68,12.43,15.04,13.89,15.5,25.13,9.63,19.28,12.41,15.59,26.62,8.88,20.05,11.93,2.86,0.18,16.8,16,28.2,9.7,447.93,447.93,447.93,0,31,31,31,0,480.39,480.39,480.39,0,31,31,31,0,483.38,483.38,483.38,0,31,31,31,0
2,2020,9,1,1,1,1,12.13,14.31,9.87,12.58,11.7,12.01,17,5.88,14.64,9.73,11.94,17.62,4.88,15.1,9.2,1.49,0.06,22.9,23.1,31.4,19.6,363.91,363.91,363.91,0,30,30,30,0,360.42,360.42,360.42,0,30,30,30,0,358.29,358.29,358.29,0,30,30,30,0
2,2020,10,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,11.66,11.93,11.43,11.93,11.43,10.95,13,9,13,9,10.77,13.75,8.25,13.75,8.25,NA,NA,26.9,26.9,27.2,26.7,11.66,11.66,11.66,0,1,1,1,0,10.95,10.95,10.95,0,1,1,1,0,10.77,10.77,10.77,0,1,1,1,0
